?
Axis	Energy	Elements=	951

C:\Users\AG Wittstock\Documents\Iza\06_27.01.2017\PET_03\Polyanalyse.DATA\C1s Scan.VGD





Binding Energy (E)				C1s Scan A	C1s Scan B	C1s Scan C	C1s Scan D	Backgnd.	Envelope	Residuals	
eV		Counts / s  (Residuals × 2)		Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)
293.200		1661.24		1656.27	1656.27	1656.27	1694.21	1656.27	1694.22	-32.9793	
293.180		1658.09		1656.22	1656.22	1656.22	1695.19	1656.22	1695.19	-37.0970	
293.160		1707.25		1656.17	1656.17	1656.17	1696.20	1656.17	1696.20	11.0537	
293.140		1651.52		1656.11	1656.11	1656.11	1697.25	1656.11	1697.25	-45.7333	
293.120		1730.98		1656.06	1656.06	1656.06	1698.34	1656.06	1698.34	32.6382	
293.100		1771.28		1656.00	1656.00	1656.00	1699.47	1656.00	1699.47	71.8089	
293.080		1706.68		1655.94	1655.94	1655.94	1700.64	1655.94	1700.65	6.03763	
293.060		1637.80		1655.88	1655.88	1655.89	1701.86	1655.88	1701.86	-64.0664	
293.040		1717.54		1655.82	1655.82	1655.83	1703.13	1655.82	1703.13	14.4129	
293.020		1684.39		1655.76	1655.76	1655.77	1704.44	1655.76	1704.44	-20.0562	
293.000		1740.70		1655.70	1655.70	1655.70	1705.80	1655.70	1705.81	34.8913	
292.980		1750.70		1655.64	1655.64	1655.64	1707.21	1655.64	1707.22	43.4828	
292.960		1676.67		1655.57	1655.57	1655.58	1708.68	1655.57	1708.68	-32.0125	
292.940		1714.69		1655.50	1655.50	1655.51	1710.19	1655.50	1710.20	4.48351	
292.920		1723.55		1655.43	1655.43	1655.44	1711.77	1655.43	1711.78	11.7712	
292.900		1779.28		1655.36	1655.36	1655.37	1713.39	1655.36	1713.41	65.8780	
292.880		1740.98		1655.28	1655.28	1655.30	1715.08	1655.28	1715.09	25.8872	
292.860		1740.41		1655.21	1655.21	1655.22	1716.83	1655.21	1716.84	23.5659	
292.840		1706.97		1655.13	1655.13	1655.15	1718.64	1655.13	1718.66	-11.6890	
292.820		1664.38		1655.05	1655.05	1655.07	1720.51	1655.05	1720.54	-56.1564	
292.800		1805.29		1654.96	1654.96	1655.00	1722.45	1654.96	1722.48	82.8122	
292.780		1801.01		1654.88	1654.88	1654.92	1724.45	1654.88	1724.49	76.5139	
292.760		1705.25		1654.79	1654.79	1654.84	1726.53	1654.79	1726.57	-21.3200	
292.740		1728.12		1654.70	1654.70	1654.75	1728.67	1654.70	1728.73	-0.606046	
292.720		1758.70		1654.61	1654.61	1654.67	1730.89	1654.61	1730.95	27.7494	
292.700		1863.89		1654.52	1654.52	1654.59	1733.18	1654.52	1733.26	130.628	
292.680		1786.71		1654.42	1654.42	1654.51	1735.55	1654.42	1735.64	51.0726	
